City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,kourou,5.1552,-52.6478,29.03,68,12,4.19,GF,1707680095
313,kuala terengganu,5.3302,103.1408,26.97,78,40,4.63,MY,1707680163
314,horta,38.5333,-28.6333,17.8,89,40,8.75,PT,1707680054
315,winslow,35.0242,-110.6974,4.1,41,0,3.6,US,1707680228
316,suva,-18.1416,178.4415,26.71,94,75,0.0,FJ,1707679985
317,uliastay,47.7417,96.8444,-8.42,75,100,2.74,MN,1707680229
318,visby,57.6409,18.296,0.58,93,75,6.17,SE,1707680229
319,sisimiut,66.9395,-53.6735,-20.33,93,95,2.62,GL,1707680159
320,dodge city,37.7528,-100.0171,0.7,91,100,6.69,US,1707680231
321,shimoda,34.6667,138.95,4.5,67,0,10.65,JP,1707680231
322,atherton,53.5237,-2.4935,7.16,88,23,1.34,GB,1707680231
323,leava,-14.3,-178.1667,28.76,83,100,9.06,WF,1707680232
324,nogliki,51.8333,143.1667,-22.03,100,65,2.24,RU,1707680230
325,nikolayevsk-on-amure,53.1406,140.73,-21.44,99,99,0.98,RU,1707680233
326,nuriootpa,-34.4833,139.0,23.14,44,0,3.54,AU,1707680039
327,las palmas,28.4204,-14.0131,18.44,83,40,5.14,ES,1707680234
328,yemva,62.59,50.8594,-25.44,100,100,1.46,RU,1707680234
329,palmares do sul,-30.2578,-50.5097,24.51,88,77,3.73,BR,1707680221
330,poronaysk,49.2167,143.1167,-23.68,97,11,0.68,RU,1707680235
331,balabac,7.9868,117.0645,26.74,79,100,8.8,PH,1707680235
332,mogadishu,2.0371,45.3438,26.0,87,49,8.51,SO,1707680236
333,taro,-8.3862,115.28,25.0,94,100,0.68,ID,1707680236
334,nagasaki,32.7447,129.8736,6.57,67,5,3.94,JP,1707680237
335,cabo san lucas,22.8909,-109.9124,24.23,56,0,4.63,MX,1707680133
336,north bay,46.3168,-79.4663,-0.03,86,100,5.66,CA,1707680070
337,taguatinga,-12.3857,-46.5711,21.97,94,100,1.19,BR,1707680239
338,qaqortoq,60.7167,-46.0333,-16.1,74,99,2.29,GL,1707680128
339,margate,51.3813,1.3862,8.83,86,15,0.89,GB,1707680093
340,kamen'-na-obi,53.7884,81.3423,-15.25,93,98,4.98,RU,1707680240
341,mermoz boabab,14.7065,-17.4758,29.31,83,0,3.09,SN,1707680241
342,akureyri,65.6835,-18.0878,0.96,69,100,4.12,IS,1707680132
343,nsanje,-16.92,35.262,24.24,90,94,1.99,MW,1707680241
344,bakal,54.9417,58.8083,-18.45,98,100,1.67,RU,1707680242
345,afaahiti,-17.75,-149.2833,27.81,85,99,11.63,PF,1707680242
346,gumdag,39.2061,54.5906,12.32,49,45,4.84,TM,1707680243
347,antalaha,-14.9003,50.2788,24.93,92,99,1.67,MG,1707680126
348,port alfred,-33.5906,26.891,21.21,80,63,3.58,ZA,1707680244
349,san fernando de apure,7.8878,-67.4724,36.03,31,8,4.29,VE,1707680244
350,fergana,40.3842,71.7843,6.09,52,20,4.12,UZ,1707680245
351,shanhaiguan,39.9988,119.7564,-1.06,70,0,2.36,CN,1707680245
352,were ilu,10.6,39.4333,13.07,81,15,2.76,ET,1707680246
353,tongliao,43.6125,122.2653,-5.59,69,0,6.97,CN,1707680246
354,ain sukhna,29.6002,32.3167,15.55,54,59,2.25,EG,1707680247
355,elliot lake,46.3834,-82.6331,-1.06,74,100,3.63,CA,1707680247
356,port lincoln,-34.7333,135.8667,17.08,90,0,1.88,AU,1707680247
357,colonia,50.9333,6.95,10.03,82,75,2.57,DE,1707680248
358,potosi,-19.5836,-65.7531,13.02,61,97,4.76,BO,1707680248
359,key west,24.5557,-81.7826,26.0,78,0,5.14,US,1707680112
360,chinde,26.8418,88.0763,9.15,47,0,2.17,NP,1707680249
361,restrepo,3.822,-76.5224,29.19,70,50,2.71,CO,1707680250
